User_ID,Name,Gender,Age,Weight,Calories_Intake,Calories_Burned,Steps,Workout_Type,Workout_Duration_Min,Sleep_Hours,Arrange_Workout_Type,Trainer_Name,Gym_Time,Arrange_Genders,Trainer,Age_Clean,Calories_Difference,Step_Category,Workout_duration,membership_type,pt_taken,duration
8270,John,female,19,84.58,2817,962,9152,CARDIO,23,8.3,Cardio,PT_Ajay,evening,Female,PT_Ajay,19.0,1855.0,medium,Short,Basic,Yes,1
1860,Anjali,Female,45,93.19,2321,558,18359,Strength,84,7.7,strenght,PT_Simran,evening,Female,PT_Simran,45.0,1763.0,high,Long,Premium,Yes,3
6390,Sneha,M,33,80.88,3396,893,16045,CARDIO,101,6.7,Cardio,PT_Simran,morning,Male,PT_Simran,33.0,2503.0,high,Long,Pro,Yes,6
6191,Karan,Female,42,86.99,1913,980,2456,Cardio,20,4.4,Cardio,PT_Raj,Night,Female,PT_Raj,42.0,933.0,low,Short,Pro,No,6
6734,Anjali,M,23,83.46,3469,183,16598,cardio,104,7.2,Cardio,PT_Vikas,evening,Male,PT_Vikas,23.0,3286.0,high,Long,Basic,No,3
7265,Sneha,Female,31,93.5,2682,648,9969,cardio,71,7.7,Cardio,PT_Simran,evening,Female,PT_Simran,31.0,2034.0,medium,Long,Premium,Yes,6
1466,Anjali,male,34,84.63,2121,577,6780,Strength,64,8.3,strenght,PT_Ajay,morning,Male,PT_Ajay,34.0,1544.0,medium,Long,Basic,Yes,12
5426,Amit,Male,35,79.75,1940,520,19677,strength,60,4.0,strenght,PT_Vikas,Morning,Male,PT_Vikas,35.0,1420.0,high,Long,Pro,No,6
6578,Rahul,Male,23,56.43,3421,609,3874,Cardio,51,8.1,Cardio,PT_Ajay,Morning,Male,PT_Ajay,23.0,2812.0,low,Medium,Pro,Yes,3
9322,Rahul,Male,37,99.12,2760,1124,2131,cardio,109,4.6,Cardio,PT_Ajay,Morning,Male,PT_Ajay,37.0,1636.0,low,Long,Basic,No,12
2685,Sneha,Female,24,77.88,2763,1049,2763,strength,60,6.1,strenght,PT_Raj,evening,Female,PT_Raj,24.0,1714.0,low,Long,Basic,No,12
1769,John,Male,21,85.57,2084,1013,16384,CARDIO,57,7.3,Cardio,no_trainer,morning,Male,No Trainer,21.0,1071.0,high,Medium,Basic,Yes,12
